publicationcode,sectionTitle,issueCellRegex
gr/MM,MΙΚΥ ΜΑΟΥΣ,
gr/MM,ΜΙΚΥ - ΔΙΠΛΑ  - ΤΡΙΠΛΑ ΤΕΥΧΗ,
gr/MMB,ΜΙΚΥ ΜΑΟΥΣ (ΝΕΑ ΠΕΡΙΟΔΟΣ),
gr/KL,ΚΛΑΣΙΚΑ DISNEY - ΣΟΥΠΕΡ ΜΙΚΥ,
gr/SM,ΣΟΥΠΕΡ ΜΙΚΥ,
gr/SMB,ΣΟΥΠΕΡ ΜΙΚΥ. ΝΕΑ ΠΕΡΙΟΔΟΣ,
gr/MIK,ΜΗΝΙΑΙΟ ΜΙΚΥ ΜΑΟΥΣ,
gr/MK,ΜΕΓΑΛΑ ΚΛΑΣΙΚΑ - ΑΛΜΠΟΥΜ (ΔΡΑΓΟΥΝΗΣ),
gr/MMV,ΤΑ ΜΙΚΡΑ ΜΕΓΑΛΑ ΒΙΒΛΙΑ (ΕΚΔ. ΚΑΜΠΑΝΑΣ),
null,ΑΛΜΠΟΥΜ ΑΣΤΕΡΩΝ (ΕΚΔΟΣΕΙΣ ΒΟΣΚΑΚΗΣ),
null,ΓΑΛΑΖΙΑ ΣΕΙΡΑ - WALT DISNEY - ΤΕΡΖΟΠΟΥΛΟΣ  1972,
gr/KVD,EDITOR CHOICE (ΚΑΘΗΜΕΡΙΝΗ) - Η ΟΙΚΟΝΟΜΙΑ ΤΟΥ ΣΚΡΟΥΤΖ,(?<!ΤΟΥ ΣΚΡΟΥΤΖ)$
null,ΜΙΚΥ - ΣΠΟΡ,
null,ΕΠΕΤΕΙΑΚΑ,
gr/MS,ΜΕΓΑΛΑ ΣΗΡΙΑΛ,
gr/KX,ΣΥΛΛΕΚΤΙΚΑ ΚΟΜΙΚΣ,
gr/MID,ΤΑ ΑΠΑΝΤΑ ΤΟΥ ΡΟΜΑΝΟ ΣΚΑΡΠΑ,
gr/KXB,ΣΥΛΛΕΚΤΙΚΑ ΚΟΜΙΚΣ (ΝΕΑ ΠΕΡΙΟΔΟΣ),
gr/MY,ΜΙΚΥ ΜΥΣΤΗΡΙΟ- ΝΤΟΝΑΛΝΤ-ΑΛΜΑΝΑΚΟ ΜΙΝΙ-DISNEY CINEMA,
gr/MYE,ΜΙΚΥ ΜΥΣΤΗΡΙΟ (Α ΄ ΚΥΚΛΟΣ) Β΄ ΕΚΔΟΣΗ ΣΕ ΕΥΡΩ,
gr/MYC,ΜΜ (ΜΙΚΥ ΜΥΣΤΗΡΙΟ Β΄ ΚΥΚΛΟΣ) ΜΕΓΑΛΟ ΣΧΗΜΑ - ΜΙΚΡΟ ΣΧΗΜΑ,(?<!\(ΜΙΚΡΟ ΣΧΗΜΑ\))$
gr/FEST,ΦΕΣΤΙΒΑΛ -18,
gr/XIN,ΤΣΙΠ ΚΑΙ ΝΤΑΙΗΛ,
gr/XIN,ΧΑΡΟΥΜΕΝΕΣ ΙΣΤΟΡΙΕΣ DISNEY,
gr/VMEB,ΤΟ ΒΙΒΛΙΟ ΤΩΝ ΜΙΚΡΩΝ ΕΞΕΡΕΥΝΗΤΩΝ (ΤΕΥΧΗ),
gr/VMEBE,ΤΟ ΒΙΒΛΙΟ ΤΩΝ ΜΙΚΡΩΝ ΕΞΕΡΕΥΝΗΤΩΝ (ΤΟΜΟΙ),
gr/PT,ΠΑΣΑΤΕΜΠΟΣ,
gr/PMM,ΤΟ ΠΕΡΙΟΔΙΚΟ ΤΟΥ ΜΙΚΥ ΜΑΟΥΣ (ΠΕΧΛΙΒΑΝΙΔΗΣ) - 1961,
gr/NPFN,ΟΙ ΝΕΕΣ ΠΕΡΙΠΕΤΕΙΕΣ ΤΟΥ ΦΑΝΤΟΜ ΝΤΑΚ (ΜΙΚΡΟ ΜΕΓΑΛΟ ΣΧΗΜΑ),
gr/DC,DISNEY CINEMA ΟΙ ΚΑΛΥΤΕΡΕΣ ΤΑΙΝΙΕΣ DISNEY ΣΕ ΚΟΜΙΚΣ,
gr/NT,ΝΤΟΝΑΛΝΤ - 190,
gr/NTB,ΝΤΟΝΑΛΝΤ (ΝΕΑ ΠΕΡΙΟΔΟΣ),
gr/MIN,ΜΙΝΝΙ,
gr/MIN,ΜΙΝΝΙ -  ΧΡΥΣΗ ΕΚΔΟΣΗ,
gr/ALM,ΑΛΜΑΝΑΚΟ - ΦΑΝΤΟΜ ΝΤΑΚ,
gr/SALM,ΣΟΥΠΕΡ ΑΛΜΑΝΑΚΟ,
gr/ALM,ΑΛΜΑΝΑΚΟ (257),
null,ΞΕΝΟΓΛΩΣΣΑ ΜΙΚΥ ΜΑΟΥΣ (DELL),
null,ΜΙΚΥ ΜΑΟΥΣ ΧΑΡΤΑΚΙΑ 1950;,
null,ΧΑΡΤΑΚΙΑ DISNEY  (ΜΕΓΑΛΟ ΣΧΗΜΑ),
null,ΜΙΚΥ - ΣΠΟΡ,